year,natural_spawners,total_spawners,hatchery_spawners,source_id
2006,134,233,99,OBMEP_20250228
2007,29,121,92,OBMEP_20250228
2008,38,116,78,OBMEP_20250228
2009,50,434,384,OBMEP_20250228
2010,112,377,265,OBMEP_20250228
2011,38,174,136,OBMEP_20250228
2012,15,130,115,OBMEP_20250228
2013,22,24,2,OBMEP_20250228
2014,23,39,16,OBMEP_20250228
2015,65,91,26,OBMEP_20250228
2016,15,30,15,OBMEP_20250228
2017,10,20,10,OBMEP_20250228
2018,9,9,0,OBMEP_20250228
2019,34,57,23,OBMEP_20250228
2020,24,29,5,OBMEP_20250228
2021,1,10,9,OBMEP_20250228
2022,9,10,1,OBMEP_20250228
2023,7,14,7,OBMEP_20250228
2024,8,11,3,OBMEP_20250228
