cu_name_pse,cuid,stream_name_pse,year,stream_observed_count,stream_survey_method,stream_survey_quality,source_id,Notes
Thompson Summer,781,SPIUS CREEK ,2017,54,Unknown Estimate Method,,Bison_20170804,
Thompson Summer,781,COLDWATER RIVER,2017,22,Unknown Estimate Method,Unknown,Bison_20170804,
Thompson Summer,781,BONAPARTE RIVER,2017,57,Unknown Estimate Method,Unknown,Bison_20170804,
Thompson Summer,781,DEADMAN RIVER,2017,47,Unknown Estimate Method,Unknown,Bison_20170804,
Thompson Summer,781,NICOLA RIVER,2017,74,Unknown Estimate Method,Unknown,Bison_20170804,
Mid Fraser Summer,780,CHILCOTIN RIVER,2017,180,Unknown Estimate Method,Unknown,Bison_20170804,
Thompson Summer,781,THOMPSON RIVER,2021,203,Addition/Subtraction,Unknown,Bison_20210806,
Thompson Summer,781,DEADMAN RIVER,2021,63,Unknown Estimate Method,Unknown,Bison_20210806,
Thompson Summer,781,BONAPARTE RIVER,2021,30,Unknown Estimate Method,Unknown,Bison_20210806,
Thompson Summer,781,COLDWATER RIVER,2021,42,Unknown Estimate Method,Unknown,Bison_20210806,
Thompson Summer,781,SPIUS CREEK ,2021,34,Unknown Estimate Method,Unknown,Bison_20210806,
Thompson Summer,781,NICOLA RIVER,2021,34,Unknown Estimate Method,Unknown,Bison_20210806,
Mid Fraser Summer,780,CHILCOTIN RIVER,2021,19,Unknown Estimate Method,Unknown,Bison_20210806,
Mid Fraser Summer,780,CHILCOTIN RIVER,2022,19,Unknown Estimate Method,Unknown,Bison_20220715,
Thompson Summer,781,DEADMAN RIVER,2022,20,Unknown Estimate Method,Unknown,Bison_20220715,
Thompson Summer,781,BONAPARTE RIVER,2022,20,Unknown Estimate Method,Unknown,Bison_20220715,
Thompson Summer,781,NICOLA RIVER,2022,64,Unknown Estimate Method,Unknown,Bison_20220715,
Thompson Summer,781,THOMPSON RIVER,2022,104,Addition/Subtraction,Unknown,Bison_20220715,
Thompson Summer,781,THOMPSON RIVER,2023,371,Addition/Subtraction,Unknown,Bison_20230828,
Mid Fraser Summer,780,CHILCOTIN RIVER,2023,134,Unknown Estimate Method,Unknown,Bison_20230828,
Thompson Summer,781,THOMPSON RIVER,2024,186,Addition/Subtraction,Unknown,Bison_20240729,
Thompson Summer,781,DEADMAN RIVER,2024,36,Unknown Estimate Method,Unknown,Bison_20240729,
Thompson Summer,781,BONAPARTE RIVER,2024,13,Unknown Estimate Method,Unknown,Bison_20240729,
Thompson Summer,781,NICOLA RIVER,2024,137,Unknown Estimate Method,Unknown,Bison_20240729,
Mid Fraser Summer,780,CHILCOTIN RIVER,2024,96,Unknown Estimate Method,Unknown,Bison_20240729,
Thompson Summer,781,BONAPARTE RIVER,2025,43,Unknown Estimate Method,Unknown,Bison_20250908,
Thompson Summer,781,DEADMAN RIVER,2025,130,Unknown Estimate Method,Unknown,Bison_20250908,
Thompson Summer,781,THOMPSON RIVER,2025,384,Addition/Subtraction,Unknown,Bison_20250908,
Thompson Summer,781,NICOLA RIVER,2025,211,Unknown Estimate Method,Unknown,Bison_20250908,
Mid Fraser Summer,780,CHILCOTIN RIVER,2025,154,Unknown Estimate Method,Unknown,Bison_20250908,
Thompson Summer,781,DEADMAN RIVER,2026,28,Unknown Estimate Method,Unknown,Bison_20260729,
Thompson Summer,781,BONAPARTE RIVER,2026,23,Unknown Estimate Method,Unknown,Bison_20260729,
Thompson Summer,781,NICOLA RIVER,2026,81,Unknown Estimate Method,Unknown,Bison_20260729,
Mid Fraser Summer,780,CHILCOTIN RIVER,2026,34,Unknown Estimate Method,Unknown,Bison_20260729,
Thompson Summer,781,THOMPSON RIVER,2026,132,Addition/Subtraction,Unknown,Bison_20260729,
