"Year","Pink","Chum","Steelhead"
1984,20751,316,NA
1985,27670,1376,NA
1986,7256,80,NA
1987,42786,1533,34
1988,3982,1089,34
1989,31189,645,38
1990,13358,748,43
1991,23553,1063,138
1992,9252,189,22
1993,1625,345,16
1994,27100,367,107
1995,1712,218,61
1996,21583,388,68
1997,4962,485,103
1998,23347,179,119
1999,23503,164,119
2000,6529,423,160
2001,9134,250,125
2002,5672,205,87
2003,15492,268,93
2004,8464,414,63
2005,15839,258,79
2006,21725,466,47
2007,12405,482,57
2008,4704,350,NA
2009,9234,231,52
2010,8868,94,176
2011,17775,177,93
2012,5826,232,24
2013,4666,269,11
2014,2436,310,150
2015,24246,95,47
2016,1369,66,13
2017,18520,236,10
2018,1604,32,12
2019,16971,118,23
2020,4739,44,19
2021,26950,29,16
2022,2042,150,39
2023,7097,61,9
2024,284,34,21
2025,4802,40,17
