region,cu_name_pse,cuid,stream_name_pse,streamid,pointid,latitude,longitude
Skeena,Upper Skeena Headwaters,280,SUSTUT RIVER,9708,2384,56.32746983,-127.2023541
Skeena,Upper Sustut,281,UPPER SUSTUT RIVER,9712,2385,56.643523,-126.49908
Skeena,Bulkley,287,BULKLEY RIVER,9724,2386,54.931604,-127.300022
Skeena,Bulkley,287,TOBOGGAN CREEK,10273,2408,54.940669,-127.316877
Nass,Nass Summer,480,SEASKINNISH CREEK,9744,2387,55.28286,-129.02037
Nass,Nass Summer,480,KWINAGEESE RIVER,9746,2388,56.01289329,-128.7580768
Nass,Nass Summer,480,CRANBERRY RIVER,9747,2389,55.55326089,-128.7055047
Nass,Nass Summer,480,MEZIADIN RIVER,9750,2390,56.03650458,-129.1851747
Nass,Nass Summer,480,BELL-IRVING RIVER,9751,2391,56.49253106,-129.4398657
Nass,Nass Summer,480,DAMDOCHAX CREEK,9754,2392,56.52624071,-128.2341717
Nass,Nass Winter,481,KSI GINGOLX,9755,239,54.99629022,-129.9623625
Central Coast,North Coast Winter,680,KLOIYA RIVER,9785,2393,54.24152072,-130.1527862
Central Coast,Transition Summer,683,BELLA COOLA RIVER,9853,2394,52.42317066,-126.4367711
Central Coast,Transition Summer,683,ATNARKO RIVER,10272,2407,52.376631,-126.093529
Fraser,Mid Fraser Summer,780,SETON RIVER,9855,2395,50.67081909,-121.9533358
Fraser,Mid Fraser Summer,780,BRIDGE RIVER,9856,2396,50.82670599,-123.2177592
Fraser,Mid Fraser Summer,780,CHILCOTIN RIVER,9857,2397,51.89187076,-122.9310772
Fraser,Thompson Summer,781,THOMPSON RIVER,9860,2398,50.7541777,-121.1991427
Fraser,Thompson Summer,781,SPIUS CREEK,,72,50.14632338,-121.0204424
Fraser,Thompson Summer,781,COLDWATER RIVER,,73,50.11490174,-120.8043058
Fraser,Thompson Summer,781,BONAPARTE RIVER,9862,74,50.73921386,-121.258846
Fraser,Thompson Summer,781,NICOLA RIVER,9861,71,50.42767089,-121.3162004
Fraser,Thompson Summer,781,DEADMAN RIVER,9863,75,50.74444787,-120.9187363
Fraser,Lower Fraser Summer,784,COQUIHALLA RIVER,9881,2399,49.37965455,-121.3350092
Fraser,Boundary Bay Winter,785,LITTLE CAMPBELL RIVER,9882,2400,50.03478097,-125.2745432
Columbia,Mid Columbia Summer,1380,OKANAGAN RIVER,9701,2410,49.07636988,-119.5181801
Columbia,Mid Columbia Summer,1380,INKANEEP CREEK,10271,2409,49.074722,-119.501944
Northern Transboundary,Taku Summer,1081,CANYON ISLAND,10309,2325,58.552425,-133.680472
East Vancouver Island & Mainland Inlets,South Coast Winter,980,CHEAKAMUS RIVER,9919,2401,49.79119771,-123.1672473
East Vancouver Island & Mainland Inlets,East Vancouver Island Winter,981,ENGLISHMAN RIVER,9978,455,49.32530375,-124.2916648
East Vancouver Island & Mainland Inlets,East Vancouver Island Winter,981,SALMON RIVER,9992,474,50.37311148,-125.9299309
East Vancouver Island & Mainland Inlets,East Vancouver Island Winter,981,KEOGH RIVER,9995,2402,50.67593152,-127.3500607
East Vancouver Island & Mainland Inlets,East Vancouver Island Summer,985,TSITIKA RIVER,10095,2406,50.37667272,-126.546528
West Vancouver Island,West Vancouver Island Summer,984,GORDON RIVER,10067,2403,48.59632264,-124.4318171
West Vancouver Island,West Vancouver Island Summer,984,GOLD RIVER,10080,2404,49.75192114,-126.052363
West Vancouver Island,West Vancouver Island Summer,984,HEBER RIVER,10081,2405,49.78969699,-126.0284032
