"region","species_name","cuid","cu_name_pse","year","estimated_count","observed_count"
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1950,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1951,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1952,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1953,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1954,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1955,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1956,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1957,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1958,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1959,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1960,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1961,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1962,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1963,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1964,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1965,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1966,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1967,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1968,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1969,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1970,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1971,-989898,3000
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1972,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1973,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1974,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1975,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1976,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1977,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1978,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1979,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1980,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1981,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1982,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1983,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1984,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1985,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1986,-989898,3072
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1987,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1988,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1989,-989898,700
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1990,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1991,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1992,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1993,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1994,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1995,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1996,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1997,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1998,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",1999,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",2000,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",2001,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",2002,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",2003,-989898,-989898
