BroodYear,ThompsonSpawners,ChilcotinSpawners
1972,NA,960
1973,NA,1435
1974,NA,677
1975,NA,581
1976,NA,1022
1977,NA,494
1978,1666,1152
1979,1666,715
1980,952,893
1981,1247,586
1982,1190,936
1983,2857,1531
1984,1120,1133
1985,3510,3149
1986,2330,1992
1987,1680,2328
1988,1500,2342
1989,1670,610
1990,1200,403
1991,1200,466
1992,900,542
1993,2960,1546
1994,2660,917
1995,2590,830
1996,1020,518
1997,3000,1373
1998,1470,672
1999,2520,744
2000,1500,739
2001,1810,1258
2002,3160,1114
2003,1480,917
2004,950,254
2005,2440,384
2006,1660,552
2007,740,374
2008,1160,158
2009,690,350
2010,590,144
2011,520,374
2012,1000,307
2013,1090,374
2014,1300,955
2015,850,418
2016,360,134
2017,240,187
2018,150,77
2019,240,120
2020,257,38
2021,203,19
