"region","species_name","species_qualified","cuid","cu_name_pse","year","estimated_count","observed_count","source_id"
"Skeena","Steelhead","SH",280,"Upper Skeena Headwaters",1971,NA,3000,NA
"Skeena","Steelhead","SH",280,"Upper Skeena Headwaters",1986,NA,3072,NA
"Skeena","Steelhead","SH",280,"Upper Skeena Headwaters",1989,NA,700,NA
"Skeena","Steelhead","SH",281,"Upper Sustut",1994,584,584,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",1995,467,467,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",1996,466,466,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",1997,649,649,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",1998,1064,1064,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",1999,731,731,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2000,377,377,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2001,756,756,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2002,812,812,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2003,1115,1115,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2004,1042,1042,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2005,268,267,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2006,133,133,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2007,263,263,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2008,193,193,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2009,1162,1162,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2010,1050,1050,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2011,1186,1186,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2012,1073,1073,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2013,988,988,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2014,895,897,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2015,943,959,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2016,1532,1532,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2017,1005,1005,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2018,299,299,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2019,670,670,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2020,233,233,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2021,135,133,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2022,181,181,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2023,160,60,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2024,608,608,"Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2025,369,369,"Miyazaki_20260505"
"Skeena","Steelhead","SH",287,"Bulkley",1993,NA,435,NA
"Skeena","Steelhead","SH",287,"Bulkley",1994,NA,237,NA
"Skeena","Steelhead","SH",287,"Bulkley",1995,NA,330,NA
"Skeena","Steelhead","SH",287,"Bulkley",1996,NA,120,NA
"Skeena","Steelhead","SH",287,"Bulkley",1997,NA,543,NA
"Skeena","Steelhead","SH",287,"Bulkley",1998,NA,381,NA
"Skeena","Steelhead","SH",287,"Bulkley",1999,28527,28884,NA
"Skeena","Steelhead","SH",287,"Bulkley",2000,41428,41714,NA
"Skeena","Steelhead","SH",287,"Bulkley",2001,15948,15948,NA
"Skeena","Steelhead","SH",287,"Bulkley",2002,25398,25398,NA
"Skeena","Steelhead","SH",287,"Bulkley",2003,12150,12150,NA
"Skeena","Steelhead","SH",287,"Bulkley",2004,15670,15670,NA
"Skeena","Steelhead","SH",287,"Bulkley",2005,15341,15341,NA
"Skeena","Steelhead","SH",287,"Bulkley",2006,15138,15138,NA
"Skeena","Steelhead","SH",287,"Bulkley",2007,19073,19073,NA
"Skeena","Steelhead","SH",287,"Bulkley",2008,27484,27484,NA
"Skeena","Steelhead","SH",287,"Bulkley",2009,24973,24973,NA
"Skeena","Steelhead","SH",287,"Bulkley",2010,41140,41140,NA
"Skeena","Steelhead","SH",287,"Bulkley",2011,19149,19149,NA
"Skeena","Steelhead","SH",287,"Bulkley",2012,27465,27465,NA
"Skeena","Steelhead","SH",289,"Morice",1999,28527,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2000,41428,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2001,15948,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2002,25398,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2003,12150,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2004,15670,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2005,15341,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2006,15138,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2007,19073,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2008,27484,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2009,24973,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2010,41140,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2011,19149,NA,NA
"Skeena","Steelhead","SH",289,"Morice",2012,27465,NA,NA
"Nass","Steelhead","SH",480,"Nass Summer",1992,5000,NA,"Nisgaa_20251202"
"Nass","Steelhead","SH",480,"Nass Summer",1993,9000,NA,"Nisgaa_20251202"
"Nass","Steelhead","SH",480,"Nass Summer",1994,6645,8,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",1995,2972,11,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",1996,11719,8,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",1997,11552,3,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",1998,11650,33,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",1999,10527,15,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2000,14717,437,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2001,13285,513,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2002,17879,308,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2003,17210,30,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2004,4577,318,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2005,7842,389,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2006,4902,168,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2007,6309,210,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2008,13920,69,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2009,27244,51,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2010,20229,651,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2011,22831,61,"English_20230930"
"Nass","Steelhead","SH",480,"Nass Summer",2012,13790,330,"English_20230930"
