"region","species_name","species_qualified","cuid","cu_name_pse","pointid","streamid","stream_name_pse","indicator","latitude","longitude","year","stream_observed_count","stream_survey_method","stream_survey_quality","source_id"
"Skeena","Steelhead","SH",280,"Upper Skeena Headwaters",2384,9708,"SUSTUT RIVER","Y",56.32746983,-127.2023541,1971,3000,"Other Estimate Method","Low",NA
"Skeena","Steelhead","SH",280,"Upper Skeena Headwaters",2384,9708,"SUSTUT RIVER","Y",56.32746983,-127.2023541,1986,3072,"Mark & Recapture: Petersen","Medium-High",NA
"Skeena","Steelhead","SH",280,"Upper Skeena Headwaters",2384,9708,"SUSTUT RIVER","Y",56.32746983,-127.2023541,1989,700,"Other Estimate Method","Low",NA
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,1994,584,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,1995,467,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,1996,466,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,1997,649,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,1998,1064,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,1999,731,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2000,377,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2001,756,"Fence Count","High","ProvBC_20190801"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2002,812,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2003,1115,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2004,1042,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2005,267,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2006,133,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2007,263,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2008,193,"Snorkel Survey","Low","Miyazaki_20260505"
"Skeena","Steelhead","SH",281,"Upper Sustut",2385,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,2009,1162,"Snorkel Survey","Low","Miyazaki_20260505"
